bounceRate,uniquePageviews,avgTimeOnPage,sale_class,year,asking_price,Month(date_added),weekday(date_added),dayOfMonth(date_added),daysOnWeb
62.5,29,243.277777777778,Used,2018,36995,8,4,3,72
0,27,136.916666666667,Used,2018,39995,8,3,23,58
0,26,140.192307692308,Used,2017,30995,5,2,2,226
100,28,199.166666666667,Used,2018,25995,11,1,13,33
100,27,36.5,New,2018,44598,7,5,14,20
100,30,83.1764705882353,Used,2018,24995,4,2,4,269
0,24,110.333333333333,New,2018,38943,8,4,24,163
50,27,120.684210526316,New,2018,39078,8,4,24,138
0,25,79.5652173913043,New,2018,44598,7,5,14,20
71.4285714285714,29,163.923076923077,Used,2010,9995,10,3,18,14
0,23,81.4761904761905,Used,2015,25995,11,3,1,31
90,27,272.428571428571,Used,2015,14995,1,3,24,8
60,23,161.55,Used,2017,29995,10,2,3,21
50,26,131.222222222222,New,2018,23343,8,5,25,60
100,28,61.6842105263158,New,2018,45093,5,3,10,266
100,25,153.5,Used,2013,17995,7,0,2,33
100,26,77.6190476190476,New,2018,34633,6,3,28,168
75,26,218.1,New,2019,42733,10,5,20,78
90.9090909090909,26,37.8888888888889,Used,2017,15995,4,2,4,122
72.7272727272727,25,177.083333333333,New,2017,50743,9,5,22,39
75,22,30.7692307692308,New,2018,42033,7,6,22,12
100,24,109.235294117647,New,2018,51278,4,2,4,259
50,22,150.866666666667,Used,2015,13995,7,5,7,27
33.3333333333333,25,157.947368421053,Used,2015,15995,6,2,20,48
100,25,185.733333333333,Used,2019,48995,1,3,3,11
71.4285714285714,23,313.454545454545,Used,2015,53995,8,3,30,20
0,14,88.3684210526316,New,2017,34043,6,2,6,28
100,23,57.7272727272727,New,2018,78298,9,3,13,114
75,23,475.666666666667,Used,2015,25995,9,1,25,11
25,23,91.4444444444444,Used,2016,13995,4,2,4,106
0,22,85.65,Used,2017,14995,4,5,14,137
0,20,118.35,Used,2018,43995,5,1,29,71
66.6666666666667,23,194.947368421053,Used,2017,37900,4,2,4,214
0,20,116.095238095238,New,2018,34778,10,5,27,81
100,20,49.25,New,2018,51278,4,2,4,302
0,23,128.470588235294,Used,2014,11995,12,4,21,18
50,19,253.615384615385,Used,2014,82995,8,4,31,21
70,22,306.583333333333,Used,2015,37888,9,4,21,12
100,20,151.428571428571,Used,2017,19995,9,4,7,24
100,21,201.875,Used,2017,21995,12,5,15,20
50,22,244.769230769231,Used,2009,9995,1,3,3,7
0,20,241.470588235294,Used,2008,6995,10,2,24,23
50,23,114.909090909091,New,2018,41783,8,4,3,35
75,19,158.166666666667,Used,2014,21995,9,5,1,42
0,22,97.0625,New,2018,23658,6,5,23,164
100,16,378.857142857143,Used,2016,24995,7,1,10,27
100,18,391.545454545455,Used,2017,19995,9,4,7,20
100,21,173,New,2018,42198,9,4,14,33
0,20,79.5714285714286,New,2018,44140,4,2,4,290
100,20,123,Used,2015,17995,9,5,29,8
0,15,40.4444444444444,New,2019,45298,11,4,16,57
0,21,138.785714285714,New,2019,40466,10,5,20,101
75,19,94.2,Used,2016,26995,8,4,3,10
0,20,139.789473684211,Used,2015,27995,6,0,4,40
0,21,236.4375,Used,2016,25995,11,1,20,7
100,19,51.7777777777778,New,2018,23328,12,3,20,25
66.6666666666667,19,110.583333333333,New,2018,29833,5,1,29,222
0,19,132.066666666667,New,2018,33028,11,3,29,2
0,20,115.769230769231,New,2019,44998,10,3,25,65
0,19,132.666666666667,Used,2008,15888,11,4,9,1
0,20,84.7222222222222,Used,2017,37900,5,2,2,169
100,20,113.9375,Used,2017,34383,5,1,29,171
55.5555555555556,17,387.375,Used,2014,15995,6,1,19,12
100,20,97,New,2018,44037,4,5,7,302
100,20,46.625,New,2018,70743,4,2,4,302
0,17,96,New,2018,32098,5,1,29,57
33.3333333333333,18,164.411764705882,Used,2017,36900,5,1,29,74
100,18,58.1538461538462,Used,2014,96995,9,3,6,34
0,18,263.2,Used,2017,22995,11,1,6,0
50,16,73.5384615384615,New,2017,56280,6,2,6,28
100,17,75.4285714285714,New,2018,36678,4,5,28,247
0,16,51.6153846153846,New,2018,48393,4,2,4,233
0,19,95.3846153846154,New,2018,47478,4,2,18,271
0,18,282.882352941176,Used,2018,29995,8,3,30,43
0,17,155.923076923077,New,2018,18298,9,5,15,63
0,17,73.7,New,2018,43740,4,2,4,288
0,17,112.818181818182,Used,2017,32995,4,2,4,121
0,17,195.733333333333,Used,2012,11995,6,0,4,49
0,19,153.5,Used,2017,22995,11,5,17,19
66.6666666666667,16,150.333333333333,New,2018,31143,8,5,11,51
100,14,97.3333333333333,Used,2016,14995,8,5,11,21
0,15,225.9,New,2018,23328,8,5,4,10
50,15,168.142857142857,Used,2016,24995,4,2,4,102
100,16,73.4615384615385,New,2018,40043,5,1,29,94
100,18,107.545454545455,Used,2017,37900,4,2,4,209
0,17,67.3846153846154,New,2017,46743,4,2,4,121
100,17,56.9230769230769,New,2018,45093,5,3,10,267
100,16,123.25,Used,2015,24995,9,2,5,23
100,16,169.846153846154,Used,2012,4995,4,2,4,90
100,17,28.2,New,2018,47478,4,2,4,268
50,16,48.6666666666667,New,2018,77103,8,5,25,115
100,17,551,Used,2017,33995,5,1,29,105
0,15,167.692307692308,Used,2017,16995,9,4,7,34
60,12,68,New,2018,17823,8,4,3,45
83.3333333333333,15,68.5,New,2018,35478,4,2,4,155
0,15,61.5,New,2018,48393,4,2,4,287
40,14,469.428571428572,New,2018,51443,4,2,18,165
0,16,53.8,New,2018,27633,6,3,28,187
0,16,101.333333333333,New,2018,39878,6,0,4,120
66.6666666666667,12,519.625,New,2019,33643,1,1,8,21
0,15,106.923076923077,Used,2017,38995,4,2,4,98
33.3333333333333,13,72.0833333333333,Used,2015,43995,6,0,4,31
0,14,205.454545454545,Used,2018,23995,11,5,17,10
100,12,406.142857142857,New,2018,25393,7,6,22,12
0,14,52.125,New,2018,43928,4,2,4,267
0,14,46.75,New,2018,44093,4,2,4,234
0,14,34.5,New,2018,29998,5,1,29,185
0,13,48.875,New,2018,32733,6,5,23,155
0,13,47.2222222222222,New,2018,29698,6,2,27,225
66.6666666666667,14,598.8,New,2018,66025,6,0,4,190
100,15,230.875,New,2019,42733,10,5,20,80
40,13,326.454545454545,Used,2013,18995,8,3,30,17
0,10,78.3333333333333,New,2018,32943,4,2,25,157
0,11,230.5,New,2018,40043,6,0,4,89
100,13,73.875,New,2019,36633,11,3,15,10
0,12,163.285714285714,Used,2015,25995,5,1,15,66
0,14,78.0714285714286,Used,2017,38900,5,1,29,85
0,13,104.636363636364,New,2018,37428,4,2,4,281
0,10,35.6666666666667,Used,2007,0,7,1,24,10
0,13,86.2222222222222,New,2018,51028,4,2,4,258
0,12,220.777777777778,New,2018,24533,4,2,4,150
100,12,33.8333333333333,New,2018,29833,5,1,29,159
0,13,54,New,2018,29833,6,4,29,197
100,12,67.2857142857143,New,2018,66578,4,2,25,251
100,13,83.75,New,2019,37278,12,5,15,26
0,11,75.6363636363636,New,2019,45298,11,2,7,73
83.3333333333333,11,18.8,New,2019,45298,11,5,10,59
0,12,19.4,New,2019,43298,11,4,23,57
0,12,196,Used,2017,15995,9,4,7,62
0,11,89.8181818181818,New,2018,37428,4,2,4,298
0,11,75.8571428571429,New,2018,20143,9,5,15,33
100,12,470.666666666667,New,2018,25228,9,4,21,16
100,10,62.3333333333333,New,2018,44433,9,5,1,14
0,11,57.5,Used,2016,14995,9,5,29,7
0,12,53.9,New,2018,29833,5,1,29,175
0,10,159.777777777778,Used,2013,11995,8,4,31,21
0,12,57.2222222222222,New,2018,39878,6,0,4,120
0,11,63.1666666666667,New,2019,17598,1,1,1,24
0,12,61,New,2019,38833,10,3,25,33
100,12,257.8,Used,2013,33995,6,0,4,26
0,12,92.1818181818182,Used,2017,38900,5,1,29,84
50,12,231.25,Used,2018,28995,8,2,22,1
50,9,200.888888888889,Used,2017,19995,9,4,14,7
100,11,33.3333333333333,New,2018,48228,4,2,4,190
100,10,47.2857142857143,New,2018,38278,4,2,4,146
100,10,137.8,Used,2015,19995,8,5,11,17
0,11,105.2,New,2018,36128,4,2,4,215
0,10,120.1,Used,2010,17995,6,0,4,27
100,8,82.2222222222222,New,2018,21958,4,2,4,135
0,11,90.1111111111111,New,2018,38840,4,2,4,211
0,11,180.571428571429,Used,2019,31888,6,2,27,136
0,10,115.428571428571,New,2018,36995,4,2,4,303
0,11,147.25,Used,2017,37900,4,2,4,182
0,11,101.222222222222,Used,2015,12995,7,4,20,14
0,9,55.375,Used,2017,41510,1,3,3,0
66.6666666666667,6,62.4285714285714,New,2018,40278,5,1,29,101
100,9,650,New,2018,25228,8,5,4,15
50,8,321.666666666667,New,2018,20143,8,3,16,9
66.6666666666667,10,12.5,New,2018,42198,9,5,15,16
0,9,46.4285714285714,New,2018,47478,4,2,4,267
0,8,96.6,Used,2014,16995,11,2,14,3
0,10,98.8,New,2018,32733,6,5,30,68
0,9,225.75,New,2018,36643,12,3,20,4
100,9,392,New,2018,42090,4,2,4,173
100,7,462.5,Used,2015,18995,6,3,7,47
0,9,121.666666666667,Used,2017,37900,5,1,29,126
0,8,443.857142857143,Used,2018,30995,9,4,7,19
0,9,632.166666666667,Used,2017,15995,9,4,7,18
0,9,58.6666666666667,New,2018,48265,4,2,4,214
0,9,55.5,New,2018,40143,4,2,4,150
0,8,95.4285714285714,New,2018,23493,9,5,15,39
100,9,75.3333333333333,New,2018,44433,7,3,12,10
100,8,254.666666666667,New,2018,44433,8,4,17,12
0,9,87.5,New,2018,44843,4,2,4,210
100,8,66.1666666666667,New,2018,46878,4,2,25,159
0,8,237.8,New,2018,46878,12,5,29,38
0,8,100.5,New,2018,47478,4,5,28,211
0,9,104.375,New,2018,41978,12,2,19,39
0,9,157.5,New,2018,32733,6,2,20,70
0,8,85.5,New,2018,29833,6,5,30,167
75,9,39.25,New,2018,34633,9,3,6,119
0,7,79.4444444444444,New,2018,25133,9,4,21,42
0,8,98.875,Used,2011,9888,12,1,18,3
0,8,359.4,New,2018,21393,6,5,23,72
0,7,212.666666666667,New,2018,23393,6,2,27,123
0,9,51.5555555555556,New,2019,25693,1,1,8,23
100,9,48.6,New,2019,45298,11,4,23,43
0,6,67.7777777777778,New,2019,45298,1,3,10,21
0,7,225.714285714286,Used,2017,46793,4,2,4,106
100,9,93,Used,2007,8995,7,4,20,4
0,9,38.1428571428571,Used,2017,46793,5,1,29,49
0,9,174.666666666667,Used,2018,39995,8,4,3,13
0,9,66.3333333333333,Used,2015,9995,8,3,16,8
0,7,150.714285714286,Used,2017,19995,9,4,7,15
100,7,51.6666666666667,New,2018,38598,6,2,20,7
100,8,99.6666666666667,New,2018,40278,4,2,4,161
0,6,515,New,2018,27543,8,3,9,22
0,8,64.4,New,2018,47643,4,2,4,174
0,7,43.1666666666667,New,2018,51443,4,2,4,244
0,7,38.1428571428571,New,2018,29833,6,0,4,211
0,8,57.375,New,2018,29833,6,0,4,71
0,6,477.2,New,2018,29833,6,5,16,96
100,7,68.5,Used,2015,22995,6,5,16,12
100,8,76.25,Used,2016,15995,4,2,4,97
100,7,110.5,New,2018,30628,4,2,4,180
0,7,140,New,2018,23958,6,5,16,125
0,8,26.3333333333333,New,2018,60028,4,2,4,302
0,8,42,New,2019,20143,1,1,15,10
0,8,129.666666666667,New,2019,43298,11,5,10,61
0,7,36.6666666666667,New,2019,39233,11,5,10,21
0,8,91.4285714285714,New,2019,36578,10,5,27,92
0,8,185.25,New,2019,21998,1,1,8,10
0,6,89.1428571428571,Used,2018,26995,4,2,4,83
0,8,90.3333333333333,Used,2012,16995,7,1,24,10
0,6,33,New,2017,28133,4,2,4,91
0,6,35.4,New,2018,34643,10,5,27,55
100,7,0,New,2018,44598,8,2,15,7
0,4,164,New,2018,44598,11,3,1,4
0,6,705.5,New,2018,46793,4,2,4,251
66.6666666666667,7,463.333333333333,New,2018,44843,4,2,4,167
0,4,186.142857142857,New,2018,43928,10,5,6,58
0,6,53.8,New,2018,25133,6,3,14,81
0,7,93.1428571428571,New,2018,34633,8,4,3,153
100,7,85.2,New,2018,32778,5,3,10,182
50,7,53.5,Used,2016,28995,9,1,25,6
100,6,70,New,2018,39870,5,3,10,173
100,7,33.5,New,2018,30628,4,3,19,163
0,7,358.6,Used,2013,15888,11,3,1,3
0,5,38.1666666666667,New,2018,23043,4,2,4,189
0,7,102.75,New,2018,22558,6,3,28,131
0,5,158.5,New,2018,22393,8,4,3,88
0,6,55,New,2018,70493,4,2,4,216
0,5,402.25,New,2018,69943,6,5,9,118
0,7,47.1666666666667,New,2018,21698,11,3,1,18
0,4,43.7142857142857,New,2019,25543,1,1,8,25
0,6,21.6,New,2019,43598,11,5,24,44
0,7,45.2857142857143,New,2019,45298,11,5,24,52
0,4,12,New,2019,45298,12,4,28,17
0,7,32.1666666666667,New,2019,45298,1,3,10,21
0,6,254.333333333333,New,2019,29343,10,5,27,33
0,6,18,New,2019,28043,12,3,13,56
0,5,91.2,Used,2013,14995,6,0,4,27
0,5,244.833333333333,Used,2017,18995,5,3,10,73
0,5,324.6,Used,2007,6995,9,1,18,8
0,6,176.5,New,2018,34778,4,2,4,180
0,5,55.5,New,2018,38275,5,3,10,199
0,5,122,New,2018,37778,7,3,19,147
0,6,41.75,New,2018,134750,5,1,29,49
0,5,26.4,New,2018,20278,6,2,27,5
100,6,0,New,2018,20278,9,4,14,7
0,6,276.2,New,2018,46793,4,2,4,156
0,5,27.3333333333333,New,2018,46878,4,2,4,193
0,6,93.5,Used,2014,26995,6,3,28,24
0,6,134.5,Used,2017,29995,4,2,4,106
0,6,39,New,2018,34383,4,2,4,174
0,5,84.5,New,2018,26598,4,2,4,111
0,6,23,New,2018,27798,5,1,29,153
100,6,51.5,New,2018,29833,6,5,9,222
0,5,52,New,2018,27333,9,4,21,41
100,6,35.4,New,2018,33028,4,2,4,221
0,6,96.25,New,2018,36378,4,0,16,213
0,6,120.5,New,2018,36543,4,1,24,207
50,5,199,New,2018,39378,6,3,14,50
0,2,59.3333333333333,New,2018,28443,7,4,13,48
0,5,84.5,New,2018,23093,5,1,29,134
0,6,72.4,New,2018,66743,4,2,4,289
0,5,642.75,New,2019,45298,10,1,16,16
66.6666666666667,6,15,New,2019,43298,11,2,7,60
0,5,51,New,2019,43133,11,4,23,22
0,6,67.3333333333333,New,2019,29793,10,5,27,68
100,6,17,New,2019,30043,11,1,20,33
0,5,169.333333333333,Used,2014,26995,5,1,29,27
0,6,27.75,Used,2018,40995,11,0,26,5
100,4,34,New,2017,16748,4,2,4,100
0,5,119,Used,2016,22995,9,5,8,20
0,5,61.6,New,2018,39078,8,4,24,66
0,5,54.3333333333333,New,2018,23493,8,4,3,8
100,5,106.666666666667,New,2018,44598,7,4,13,5
0,4,91,New,2018,44598,8,4,17,9
0,4,66.75,New,2018,42033,8,4,24,8
0,5,16.2,New,2018,44678,4,2,4,150
0,4,128.75,Used,2007,15995,9,1,18,4
0,4,164.5,New,2018,46878,4,2,4,193
0,5,147.666666666667,New,2018,44093,4,2,4,195
0,5,53.75,New,2018,44037,5,3,10,156
0,5,57,Used,2016,31995,12,4,28,6
0,4,238,Used,2015,31995,6,0,4,27
0,5,87.4,New,2018,34633,6,0,4,102
0,5,42.75,New,2018,29833,6,3,28,166
0,4,40,New,2018,29833,7,2,11,136
0,5,44.25,New,2018,24998,7,5,14,50
0,4,48.6666666666667,New,2018,27333,8,3,23,100
0,4,46.2,Used,2007,8995,6,0,4,20
0,5,87,New,2018,38528,4,2,4,215
0,5,166.25,New,2018,30378,5,3,10,127
0,5,41.4,New,2018,39778,4,5,21,122
0,4,48.75,New,2018,35678,5,1,29,95
0,5,11,New,2018,39378,6,5,16,61
0,5,22,New,2018,39878,6,4,29,35
0,5,18,New,2018,39378,1,1,29,2
0,5,185.333333333333,New,2018,22258,6,2,20,134
0,5,313,New,2018,22258,6,4,29,125
0,5,33.75,New,2018,60028,4,2,4,240
0,4,294.75,New,2018,38840,4,2,4,150
0,5,3,New,2019,38698,10,3,11,40
0,5,29,New,2019,38998,10,3,11,23
0,5,960,New,2019,38833,10,3,25,33
0,5,80.3333333333333,New,2019,45298,11,1,20,28
0,4,12.3333333333333,New,2019,43298,11,5,24,52
100,5,10,New,2019,45298,12,1,18,22
0,5,133,New,2019,43133,1,3,10,19
0,4,58,New,2019,40466,10,5,6,87
100,4,284.75,New,2019,39966,10,3,11,84
100,5,289,New,2019,37031,10,1,16,46
100,4,15,New,2019,36743,11,3,1,85
0,3,290,Used,2015,11995,7,5,7,1
0,5,162.5,Used,2015,25995,8,1,14,2
0,5,32.4,Used,2017,18995,4,2,4,106
0,5,128,Used,2017,38900,4,2,4,132
0,5,101,Used,2017,15995,10,2,3,23
100,5,67.5,Used,2016,25991,12,5,1,7
0,4,73.25,Used,2016,25995,12,5,1,4
0,3,39.5,New,2017,46628,6,2,6,23
0,1,39,New,2018,31443,5,1,29,36
0,3,71,New,2018,34943,7,5,14,24
0,4,204.75,New,2018,34643,10,5,27,96
0,3,17.3333333333333,Used,2013,22995,1,5,12,1
0,3,204.5,New,2018,25228,6,4,29,2
0,3,431.666666666667,New,2018,20278,6,4,29,6
100,4,0,New,2018,25228,7,5,7,10
100,3,37.6666666666667,New,2018,23178,8,5,11,4
0,3,157,New,2018,23178,9,4,21,13
0,3,35.6666666666667,New,2018,23493,12,5,1,6
0,4,27,New,2018,44598,7,3,12,8
100,4,114.5,New,2018,42033,9,3,6,7
0,4,77.75,New,2018,44598,9,3,13,12
100,3,516.5,New,2018,42198,9,4,14,15
100,4,15,New,2018,44843,4,2,4,182
0,4,42,Used,2015,30888,1,1,29,0
0,3,240.666666666667,New,2018,28843,8,2,29,37
0,4,49.25,New,2018,48393,4,2,4,205
100,4,11.5,Used,2012,14995,9,1,25,7
0,4,270.666666666667,New,2018,51443,4,2,4,239
0,4,76.5,New,2018,47643,4,2,25,195
0,4,36.5,New,2018,26783,4,2,4,157
0,4,11.6666666666667,New,2018,29998,4,4,20,195
0,3,22.6666666666667,New,2018,29833,5,2,9,167
0,4,285.333333333333,New,2018,29833,5,3,10,145
0,4,47.5,New,2018,29698,6,0,4,136
0,4,38.5,New,2018,34633,8,4,3,103
0,4,80.3333333333333,New,2018,39278,4,2,4,169
0,4,142,New,2018,39278,4,2,4,110
0,4,382,New,2018,39278,4,2,4,141
0,3,216.5,New,2018,34493,4,2,4,165
0,4,71.3333333333333,Used,2005,0,7,6,22,2
0,4,11.5,New,2018,39378,5,1,29,66
0,4,106.5,New,2018,39878,6,0,4,89
0,4,61.6666666666667,New,2018,39543,6,2,20,44
